"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"50","Mendoza","Sputnik V COVID19 Instituto Gamaleya",155984,33774
"54","Misiones","AstraZeneca ChAdOx1 S recombinante",9684,1351
"54","Misiones","COVISHIELD ChAdOx1nCoV COVID 19",15219,129
"54","Misiones","Sinopharm Vacuna SARSCOV 2 inactivada",47574,776
"54","Misiones","Sputnik V COVID19 Instituto Gamaleya",65019,17524
"58","Neuquén","AstraZeneca ChAdOx1 S recombinante",9273,729
"58","Neuquén","COVISHIELD ChAdOx1nCoV COVID 19",10141,51
"58","Neuquén","Sinopharm Vacuna SARSCOV 2 inactivada",32909,2500
"58","Neuquén","Sputnik V COVID19 Instituto Gamaleya",52605,17813
"62","Río Negro","AstraZeneca ChAdOx1 S recombinante",13465,297
"62","Río Negro","COVISHIELD ChAdOx1nCoV COVID 19",13553,18
"62","Río Negro","Sinopharm Vacuna SARSCOV 2 inactivada",40306,1029
"62","Río Negro","Sputnik V COVID19 Instituto Gamaleya",59036,13156
"66","Salta","AstraZeneca ChAdOx1 S recombinante",17838,225
"66","Salta","COVISHIELD ChAdOx1nCoV COVID 19",17484,15
"66","Salta","Sinopharm Vacuna SARSCOV 2 inactivada",48847,481
"66","Salta","Sputnik V COVID19 Instituto Gamaleya",100357,25657
"70","San Juan","AstraZeneca ChAdOx1 S recombinante",20160,9
"70","San Juan","COVISHIELD ChAdOx1nCoV COVID 19",8671,11
"70","San Juan","Sinopharm Vacuna SARSCOV 2 inactivada",30889,2302
"70","San Juan","Sputnik V COVID19 Instituto Gamaleya",71407,12690
"74","San Luis","AstraZeneca ChAdOx1 S recombinante",13493,1
"74","San Luis","COVISHIELD ChAdOx1nCoV COVID 19",6814,0
"74","San Luis","Sinopharm Vacuna SARSCOV 2 inactivada",27771,5969
"74","San Luis","Sputnik V COVID19 Instituto Gamaleya",42073,13808
"78","Santa Cruz","AstraZeneca ChAdOx1 S recombinante",3439,9
"78","Santa Cruz","COVISHIELD ChAdOx1nCoV COVID 19",5670,636
"78","Santa Cruz","Sinopharm Vacuna SARSCOV 2 inactivada",15486,2313
"78","Santa Cruz","Sputnik V COVID19 Instituto Gamaleya",24147,6794
"82","Santa Fe","AstraZeneca ChAdOx1 S recombinante",78876,94
"82","Santa Fe","COVISHIELD ChAdOx1nCoV COVID 19",40423,49
"82","Santa Fe","Sinopharm Vacuna SARSCOV 2 inactivada",135772,95
"82","Santa Fe","Sputnik V COVID19 Instituto Gamaleya",306788,66236
"86","Santiago del Estero","AstraZeneca ChAdOx1 S recombinante",10692,41
"86","Santiago del Estero","COVISHIELD ChAdOx1nCoV COVID 19",11046,23
"86","Santiago del Estero","Sinopharm Vacuna SARSCOV 2 inactivada",42613,405
"86","Santiago del Estero","Sputnik V COVID19 Instituto Gamaleya",61709,12671
"94","Tierra del Fuego","AstraZeneca ChAdOx1 S recombinante",1067,745
"94","Tierra del Fuego","COVISHIELD ChAdOx1nCoV COVID 19",2681,686
"94","Tierra del Fuego","Sinopharm Vacuna SARSCOV 2 inactivada",7252,2777
"94","Tierra del Fuego","Sputnik V COVID19 Instituto Gamaleya",15292,4390
"90","Tucumán","AstraZeneca ChAdOx1 S recombinante",10596,16023
"90","Tucumán","COVISHIELD ChAdOx1nCoV COVID 19",20297,0
"90","Tucumán","Sinopharm Vacuna SARSCOV 2 inactivada",53259,11801
"90","Tucumán","Sputnik V COVID19 Instituto Gamaleya",138235,34789
